framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,DeleteInsert,insert_1,0,Failed,561,1344,0,0,0,0.0014269996900111437,0.002096000243909657,0.0002470000181347132,0.0035229999339208007,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,1,Failed,2214,4758,0,0,0,0.005168001749552786,0.004412998212501405,0.0001960000954568386,0.009580999962054191,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,2,Failed,881,1905,0,0,0,0.0025189999723806977,0.001984999980777502,0.00020000000949949023,0.0045039999531582,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,3,Failed,44576,100590,0,0,0,0.10486299218609928,0.08871300786267967,0.0002530000638216734,0.19357600004877895,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,4,Failed,9940,22763,0,0,0,0.023141999379731715,0.020533000584691763,0.0002460000105202198,0.04367499996442348,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,5,Failed,872,1895,0,0,0,0.002072999603115022,0.002246000338345766,0.00022200006060302255,0.004318999941460788,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,6,Failed,28164,64026,0,0,0,0.06603000196628273,0.062277997960336506,0.00025100004859268665,0.12830799992661923,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,7,Failed,28404,63677,0,0,0,0.06481800053734332,0.05599699937738478,0.00024200009647756815,0.1208149999147281,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,8,Failed,2174,4901,0,0,0,0.005755001329816878,0.004750998690724373,0.00023499992676079273,0.01050600002054125,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_1,9,Failed,10105,22938,0,0,0,0.023092002142220736,0.020914997905492783,0.0002500000409781933,0.04400700004771352,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_2,0,Failed,7428,16591,0,0,0,0.015850999974645674,0.014747000066563487,0.0003100000321865082,0.03059800004120916,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_2,1,Failed,240,534,0,0,0,0.0005830001318827271,0.0008749999105930328,0.00022499996703118089,0.00145800004247576,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_2,2,Failed,72,171,0,0,0,0.00021300034131854773,0.0004109996370971203,0.00022500008344650269,0.000623999978415668,12,12,12,5.0,5.0
Quick,Quick,none,DeleteInsert,insert_2,3,Failed,8461,19258,0,0,0,0.01992800203152001,0.01681399787776172,0.00029200001154094934,0.03674199990928173,18,18,12,11.0,11.0
