framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,default,SinglePreserve,tshift_tvar_all,0,Failed,278,550579,0,0,0,0.325834994437173,0.2913290055003017,0.0005429999437183142,0.6171639999374747,71,71,19,72.0,72.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,1,Failed,471,959584,0,0,0,0.5430910186842084,0.48579198122024536,0.0009260000661015512,1.0288829999044538,68,68,19,67.0,67.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,2,Failed,110,214589,0,0,0,0.12176700122654438,0.11063599889166653,0.0005210000090301037,0.2324030001182109,46,46,19,38.0,38.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,3,Failed,335,748970,0,0,0,0.4344550031237304,0.3995389968622476,0.0004579999949783087,0.833993999985978,52,52,19,45.0,45.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,4,Failed,60,88596,0,0,0,0.0523169981315732,0.047609001863747835,0.0004420001059770584,0.09992599999532104,63,63,19,61.0,61.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,5,Failed,109,200381,0,0,0,0.11398501158691944,0.10145398834720253,0.0004330000374466181,0.21543899993412197,41,41,19,36.0,36.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,6,Failed,879,1825852,0,0,0,1.048393959645182,0.9456450403667984,0.0004489999264478683,1.9940390000119803,78,78,19,80.0,80.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,7,Failed,117,225256,0,0,0,0.1265639855992049,0.11474101431667807,0.00045199994929134846,0.24130499991588297,48,48,19,39.0,39.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,8,Failed,727,1554201,0,0,0,0.9080330117139964,0.8249209884088488,0.00027299998328089714,1.7329540001228452,70,70,19,69.0,69.0
Quick,Quick,default,SinglePreserve,tshift_tvar_all,9,Failed,310,698930,0,0,0,0.41472001606598496,0.3801739839836955,0.0004859999753534794,0.7948940000496805,36,36,19,26.0,26.0
Quick,Quick,default,MultiPreserve,tshift_tvar_all,0,Failed,48,90795,0,0,0,0.057889007264748216,0.05354899284429848,0.0002840000670403242,0.1114380001090467,34,34,19,20.0,20.0
Quick,Quick,default,MultiPreserve,tshift_tvar_all,1,Failed,624,1211280,0,0,0,0.7099580040667206,0.6496289959177375,0.00023799994960427284,1.359586999984458,37,37,19,31.0,31.0
Quick,Quick,default,MultiPreserve,tshift_tvar_all,2,Failed,1202,2489400,0,0,0,1.479493013350293,1.3436839864589274,0.00032700016163289547,2.8231769998092204,53,53,19,50.0,50.0
Quick,Quick,default,MultiPreserve,tshift_tvar_all,3,Failed,43,93545,0,0,0,0.0569230099208653,0.05269199004396796,0.000447999918833375,0.10961499996483326,46,46,19,40.0,40.0
Quick,Quick,default,MultiPreserve,tshift_tvar_all,4,Failed,140,321912,0,0,0,0.187842016806826,0.17430898314341903,0.0004539999645203352,0.362150999950245,51,51,19,43.0,43.0
