framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,SinglePreserve,shift_var_none,0,Failed,2548445,5029614,0,0,0,2.8564360453747213,4.153038954595104,0.0005540000274777412,7.009474999969825,56,56,16,41.0,41.0
Quick,Quick,none,SinglePreserve,shift_var_none,1,Failed,315808,620694,0,0,0,0.3477339930832386,0.5078060068190098,0.0005270000547170639,0.8555399999022484,44,44,16,29.0,29.0
Quick,Quick,none,SinglePreserve,shift_var_none,2,Failed,531336,1045827,0,0,0,0.5877219829708338,0.8569980170577765,0.0004960000514984131,1.4447200000286102,56,56,16,41.0,41.0
Quick,Quick,none,SinglePreserve,shift_var_none,3,Failed,46883,91797,0,0,0,0.05187098984606564,0.07474201009608805,0.0007140000816434622,0.1266129999421537,48,48,16,33.0,33.0
Quick,Quick,none,SinglePreserve,shift_var_none,4,Failed,12808,25342,0,0,0,0.01541299861855805,0.021182001335546374,0.0003199998755007982,0.036594999954104424,52,52,16,37.0,37.0
Quick,Quick,none,SinglePreserve,shift_var_none,5,Failed,42809,84721,0,0,0,0.04858300369232893,0.06766599626280367,0.0004539999645203352,0.1162489999551326,48,48,16,33.0,33.0
Quick,Quick,none,SinglePreserve,shift_var_none,6,Failed,147879,292101,0,0,0,0.16172202164307237,0.23637497820891445,0.0005100001581013203,0.3980969998519868,36,36,16,20.0,20.0
Quick,Quick,none,SinglePreserve,shift_var_none,7,Failed,6525,12851,0,0,0,0.007524996297433972,0.010963003616780043,0.00032899994403123856,0.018487999914214015,48,48,16,33.0,33.0
Quick,Quick,none,SinglePreserve,shift_var_none,8,Failed,648318,1276458,0,0,0,0.7017320182640105,1.0228539817035198,0.0005459999665617943,1.7245859999675304,36,36,16,21.0,21.0
Quick,Quick,none,SinglePreserve,shift_var_none,9,Failed,228692,452921,0,0,0,0.25161200971342623,0.36070499033667147,0.0005270000547170639,0.6123170000500977,40,40,16,24.0,24.0
Quick,Quick,none,MultiPreserve,shift_var_none,0,Failed,358016,706249,0,0,0,0.4594100066460669,0.6368879934307188,0.0004070000723004341,1.0962980000767857,36,36,16,21.0,21.0
Quick,Quick,none,MultiPreserve,shift_var_none,1,Failed,66915,131624,0,0,0,0.0795359993353486,0.10899900062941015,0.0004879999905824661,0.18853499996475875,44,44,16,29.0,29.0
