framework,strategy,mode,n_tasks,< 0.1s,< 1s,< 10s,< 60s,≥ 60s,Not Found
Quick,Quick,none,52,65.4,9.6,9.6,5.8,0.0,9.6
Quick,QuickCBC,none,52,84.6,9.6,5.8,0.0,0.0,0.0
Quick,QuickGbE,none,52,100.0,0.0,0.0,0.0,0.0,0.0
Quick,Quick,fixed-100,52,65.4,13.5,3.8,5.8,1.9,9.6
Quick,QuickCBC,fixed-100,52,84.6,13.5,1.9,0.0,0.0,0.0
Quick,QuickGbE,fixed-100,52,100.0,0.0,0.0,0.0,0.0,0.0
Quick,Quick,default,52,63.5,13.5,5.8,3.8,1.9,11.5
Quick,QuickCBC,default,52,84.6,11.5,3.8,0.0,0.0,0.0
Quick,QuickGbE,default,52,100.0,0.0,0.0,0.0,0.0,0.0
Hedgehog,Hedgehog,none,52,40.4,23.1,13.5,13.5,1.9,7.7
Hedgehog,HedgehogCBC,none,52,92.3,7.7,0.0,0.0,0.0,0.0
Hedgehog,HedgehogCBC2,none,52,84.6,7.7,7.7,0.0,0.0,0.0
Hedgehog,HedgehogGbE,none,52,84.6,1.9,13.5,0.0,0.0,0.0
Hedgehog,Hedgehog,fixed-100,52,38.5,28.8,9.6,11.5,3.8,7.7
Hedgehog,HedgehogCBC,fixed-100,52,92.3,7.7,0.0,0.0,0.0,0.0
Hedgehog,HedgehogCBC2,fixed-100,52,82.7,7.7,9.6,0.0,0.0,0.0
Hedgehog,HedgehogGbE,fixed-100,52,84.6,1.9,13.5,0.0,0.0,0.0
Hedgehog,Hedgehog,default,52,36.5,32.7,5.8,15.4,1.9,7.7
Hedgehog,HedgehogCBC,default,52,92.3,5.8,1.9,0.0,0.0,0.0
Hedgehog,HedgehogCBC2,default,52,84.6,5.8,9.6,0.0,0.0,0.0
Hedgehog,HedgehogGbE,default,52,84.6,3.8,11.5,0.0,0.0,0.0
Falsify,Falsify,none,52,48.1,23.1,9.6,3.8,1.9,13.5
Falsify,FalsifyCBC,none,52,82.7,5.8,9.6,0.0,0.0,1.9
Falsify,FalsifyCBC2,none,52,82.7,1.9,13.5,0.0,0.0,1.9
Falsify,FalsifyGbE,none,52,82.7,9.6,5.8,1.9,0.0,0.0
Falsify,Falsify,fixed-100,52,51.9,17.3,13.5,0.0,1.9,15.4
Falsify,FalsifyCBC,fixed-100,52,82.7,3.8,11.5,1.9,0.0,0.0
Falsify,FalsifyCBC2,fixed-100,52,82.7,5.8,7.7,1.9,1.9,0.0
Falsify,FalsifyGbE,fixed-100,52,84.6,7.7,5.8,1.9,0.0,0.0
Falsify,Falsify,default,52,50.0,19.2,13.5,1.9,0.0,15.4
Falsify,FalsifyCBC,default,52,82.7,1.9,13.5,0.0,1.9,0.0
Falsify,FalsifyCBC2,default,52,82.7,3.8,9.6,1.9,1.9,0.0
Falsify,FalsifyGbE,default,52,82.7,7.7,7.7,0.0,1.9,0.0
