workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-haskell","Quick","DeleteInsert",["insert_1"],"solve",12789.10,2293.80,0.00,0.0569
"bst-haskell","Quick","DeleteInsert",["insert_2"],"solve",10918.00,2403.70,0.00,0.0494
"bst-haskell","Quick","DeleteInsert",["delete_4"],"solve",0.00,0.80,0.00,0.0009
"bst-haskell","Quick","DeleteInsert",["delete_5"],"solve",11282.70,1252.20,0.00,0.0607
"bst-haskell","Quick","InsertInsert",["insert_1"],"solve",0.00,0.90,0.00,0.0009
"bst-haskell","Quick","InsertInsert",["insert_2"],"solve",0.00,0.20,0.00,0.0008
"bst-haskell","Quick","InsertInsert",["insert_3"],"solve",1397.50,510.50,0.00,0.0076
"bst-haskell","Quick","InsertModel",["insert_1"],"solve",2.80,2.10,0.00,0.0008
"bst-haskell","Quick","InsertModel",["insert_2"],"solve",7.00,1.30,0.00,0.0008
"bst-haskell","Quick","InsertModel",["insert_3"],"solve",12364.00,2460.60,0.00,0.0540
"bst-haskell","Quick","InsertPost",["insert_1"],"solve",5632.40,683.00,0.00,0.0257
"bst-haskell","Quick","InsertPost",["insert_2"],"solve",7501.50,133.60,0.00,0.0338
"bst-haskell","Quick","InsertPost",["insert_3"],"solve",14702508.80,1874876.10,0.00,56.7383
"bst-haskell","Quick","InsertUnion",["insert_1"],"solve",6.50,4.10,0.00,0.0010
"bst-haskell","Quick","InsertUnion",["insert_2"],"solve",9.60,0.30,0.00,0.0009
"bst-haskell","Quick","InsertUnion",["insert_3"],"solve",11109.40,13862.40,0.00,0.1676
"bst-haskell","Quick","InsertUnion",["union_6"],"solve",7.60,0.10,0.00,0.0009
"bst-haskell","Quick","InsertUnion",["union_7"],"solve",54.10,8.10,0.00,0.0020
"bst-haskell","Quick","InsertUnion",["union_8"],"solve",64854.70,7583.60,0.00,1.0217
"bst-haskell","Quick","UnionDeleteInsert",["insert_1"],"solve",3.20,0.60,0.00,0.0009
"bst-haskell","Quick","UnionDeleteInsert",["insert_2"],"solve",10.50,25.10,0.00,0.0012
"bst-haskell","Quick","UnionDeleteInsert",["insert_3"],"solve",6659.60,2033.20,0.00,0.1067
"bst-haskell","Quick","UnionDeleteInsert",["delete_4"],"solve",3.20,2.40,0.00,0.0009
"bst-haskell","Quick","UnionDeleteInsert",["delete_5"],"solve",36647.40,10027.30,0.00,0.5491
"bst-haskell","Quick","UnionDeleteInsert",["union_6"],"solve",16.50,11.90,0.00,0.0010
"bst-haskell","Quick","UnionDeleteInsert",["union_7"],"solve",39.00,0.60,0.00,0.0015
"bst-haskell","Quick","UnionDeleteInsert",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","InsertDelete",["insert_2"],"solve",23252.10,734.10,0.00,0.0950
"bst-haskell","Quick","InsertDelete",["insert_3"],"solve",14964910.10,1823544.10,0.00,62.6945
"bst-haskell","Quick","InsertDelete",["delete_4"],"solve",0.00,0.20,0.00,0.0008
"bst-haskell","Quick","DeleteModel",["delete_4"],"solve",8.30,1.00,0.00,0.0010
"bst-haskell","Quick","DeleteModel",["delete_5"],"solve",46468.90,19322.70,0.00,0.2381
"bst-haskell","Quick","DeletePost",["delete_4"],"solve",7024.70,1306.80,0.00,0.0356
"bst-haskell","Quick","DeletePost",["delete_5"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","DeleteDelete",["delete_4"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","DeleteDelete",["delete_5"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","DeleteUnion",["delete_4"],"solve",39032.60,22234.70,0.00,0.5591
"bst-haskell","Quick","DeleteUnion",["delete_5"],"solve",77498.60,9993.50,0.00,1.1319
"bst-haskell","Quick","DeleteUnion",["union_6"],"solve",65492.80,19829.70,0.00,0.9690
"bst-haskell","Quick","DeleteUnion",["union_7"],"solve",136339.10,195708.00,0.00,1.9635
"bst-haskell","Quick","DeleteUnion",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-haskell","Quick","UnionValid",["union_6"],"solve",77.10,30.10,0.00,0.0022
"bst-haskell","Quick","UnionValid",["union_7"],"solve",256.10,124.40,0.00,0.0063
"bst-haskell","Quick","UnionPost",["union_6"],"solve",15674.50,1356.40,0.00,0.0711
"bst-haskell","Quick","UnionPost",["union_7"],"solve",24198.30,19.60,0.00,0.1132
"bst-haskell","Quick","UnionPost",["union_8"],"solve",16423972.30,1559147.50,0.00,78.4839
"bst-haskell","Quick","UnionModel",["union_6"],"solve",28.90,75.30,0.00,0.0014
"bst-haskell","Quick","UnionModel",["union_7"],"solve",208.90,279.70,0.00,0.0044
"bst-haskell","Quick","UnionModel",["union_8"],"solve",145288.10,52368.70,0.00,2.2539
"bst-haskell","Quick","UnionUnionAssoc",["union_6"],"solve",143.50,11.60,0.00,0.0081
"bst-haskell","Quick","UnionUnionAssoc",["union_7"],"solve",154.50,422.20,0.00,0.0092
"bst-haskell","Quick","UnionUnionAssoc",["union_8"],"solve",200375.30,451018.40,0.00,10.1343
"bst-haskell","QuickCBC","DeleteInsert",["insert_1"],"solve",2812.70,0.00,0.00,0.0099
"bst-haskell","QuickCBC","DeleteInsert",["insert_2"],"solve",1818.00,0.00,0.00,0.0084
"bst-haskell","QuickCBC","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0008
"bst-haskell","QuickCBC","DeleteInsert",["delete_5"],"solve",1529.00,0.00,0.00,0.0078
"bst-haskell","QuickCBC","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0009
"bst-haskell","QuickCBC","InsertInsert",["insert_2"],"solve",0.80,0.00,0.00,0.0009
"bst-haskell","QuickCBC","InsertInsert",["insert_3"],"solve",1342.80,0.00,0.00,0.0074
"bst-haskell","QuickCBC","InsertModel",["insert_1"],"solve",0.30,0.00,0.00,0.0009
"bst-haskell","QuickCBC","InsertModel",["insert_2"],"solve",1.50,0.00,0.00,0.0009
"bst-haskell","QuickCBC","InsertModel",["insert_3"],"solve",200.30,0.00,0.00,0.0018
"bst-haskell","QuickCBC","InsertPost",["insert_1"],"solve",152.30,0.00,0.00,0.0014
"bst-haskell","QuickCBC","InsertPost",["insert_2"],"solve",1762.30,0.00,0.00,0.0065
"bst-haskell","QuickCBC","InsertPost",["insert_3"],"solve",608212.50,0.00,0.00,1.7249
"bst-haskell","QuickCBC","InsertUnion",["insert_1"],"solve",0.20,0.00,0.00,0.0008
"bst-haskell","QuickCBC","InsertUnion",["insert_2"],"solve",3.00,0.00,0.00,0.0009
"bst-haskell","QuickCBC","InsertUnion",["insert_3"],"solve",173.30,0.00,0.00,0.0025
"bst-haskell","QuickCBC","InsertUnion",["union_6"],"solve",1.60,0.00,0.00,0.0009
"bst-haskell","QuickCBC","InsertUnion",["union_7"],"solve",1.80,0.00,0.00,0.0008
"bst-haskell","QuickCBC","InsertUnion",["union_8"],"solve",501.40,0.00,0.00,0.0056
