workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-haskell","Quick","InsertPost",["insert_1"],"solve",3457.50,942.70,0.00,0.0252
"bst-haskell","Quick","InsertPost",["insert_2"],"solve",10212.20,3186.70,0.00,0.0493
"bst-haskell","Quick","InsertPost",["insert_3"],"solve",14892653.40,2189555.40,0.00,73.1290
"bst-haskell","Quick","InsertModel",["insert_1"],"solve",1.60,0.20,0.00,0.0010
"bst-haskell","Quick","InsertModel",["insert_2"],"solve",7.30,1.30,0.00,0.0010
"bst-haskell","Quick","InsertModel",["insert_3"],"solve",9102.30,1454.60,0.00,0.0428
"bst-haskell","Quick","DeleteInsert",["insert_1"],"solve",14174.60,1993.80,0.00,0.0678
"bst-haskell","Quick","DeleteInsert",["insert_2"],"solve",13133.70,26.90,0.00,0.0646
"bst-haskell","Quick","DeleteInsert",["delete_4"],"solve",0.00,0.20,0.00,0.0010
"bst-haskell","Quick","DeleteInsert",["delete_5"],"solve",12891.60,6363.70,0.00,0.0678
"bst-haskell","Quick","InsertInsert",["insert_1"],"solve",0.00,0.10,0.00,0.0008
"bst-haskell","Quick","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0009
"bst-haskell","Quick","InsertInsert",["insert_3"],"solve",2185.10,361.20,0.00,0.0128
"bst-haskell","Quick","InsertUnion",["insert_1"],"solve",3.20,4.00,0.00,0.0011
"bst-haskell","Quick","InsertUnion",["insert_2"],"solve",2.40,3.60,0.00,0.0010
"bst-haskell","Quick","InsertUnion",["insert_3"],"solve",9723.30,3705.40,0.00,0.1562
"bst-haskell","Quick","InsertUnion",["union_6"],"solve",5.80,0.40,0.00,0.0009
"bst-haskell","Quick","InsertUnion",["union_7"],"solve",49.00,106.80,0.00,0.0026
"bst-haskell","Quick","InsertUnion",["union_8"],"solve",48211.30,7212.20,0.00,0.7706
"bst-haskell","Quick","UnionDeleteInsert",["insert_1"],"solve",3.40,3.80,0.00,0.0009
"bst-haskell","Quick","UnionDeleteInsert",["insert_2"],"solve",9.60,3.60,0.00,0.0012
"bst-haskell","Quick","UnionDeleteInsert",["insert_3"],"solve",8148.60,8602.10,0.00,0.1505
"bst-haskell","Quick","UnionDeleteInsert",["delete_4"],"solve",4.80,3.40,0.00,0.0013
