ts pid rss_mb vsz_mb pcpu pmem cmd
22:42:36 15720 0.0 400504.5 0.0 0.0 ./bin/rbt
22:42:51 18401 1219.6 1449374.8 162.5 7.4 ./bin/rbt
22:42:56 18401 4418.6 1449374.8 115.5 27.0 ./bin/rbt
22:43:01 18401 5385.6 1449375.8 132.2 32.9 ./bin/rbt
22:43:06 18401 6484.7 1449375.8 134.9 39.6 ./bin/rbt
22:43:11 18401 6394.5 1449375.8 111.8 39.0 ./bin/rbt
22:43:16 18401 5242.7 1449375.8 102.7 32.0 ./bin/rbt
22:43:21 18401 4783.8 1449375.8 78.9 29.2 ./bin/rbt
22:43:27 18401 2548.1 1449375.8 80.9 15.6 ./bin/rbt
22:43:32 18401 2449.7 1449375.8 52.5 15.0 ./bin/rbt
22:43:37 18401 2451.1 1449376.8 106.9 15.0 ./bin/rbt
22:43:42 18401 2399.8 1449377.8 105.4 14.6 ./bin/rbt
22:43:47 18401 2515.3 1449377.8 91.1 15.4 ./bin/rbt
22:43:52 18401 2514.5 1449377.8 87.6 15.3 ./bin/rbt
22:43:57 18401 2746.6 1449377.8 154.6 16.8 ./bin/rbt
22:44:02 18401 2835.6 1449377.8 113.1 17.3 ./bin/rbt
22:44:07 18401 2391.4 1449377.8 47.5 14.6 ./bin/rbt
22:44:12 18401 2405.6 1449377.8 47.9 14.7 ./bin/rbt
22:44:17 18401 2583.2 1449377.8 39.5 15.8 ./bin/rbt
22:44:22 18401 2440.7 1449377.8 47.6 14.9 ./bin/rbt
22:44:27 18401 2467.9 1449377.8 26.0 15.1 ./bin/rbt
22:44:32 18401 2262.0 1449377.8 28.6 13.8 ./bin/rbt
22:44:37 18401 2326.3 1449377.8 30.9 14.2 ./bin/rbt
22:44:42 18401 1976.8 1449377.8 96.8 12.1 ./bin/rbt
22:44:47 18401 1928.3 1449377.8 28.0 11.8 ./bin/rbt
22:44:52 18401 2142.1 1449377.8 49.3 13.1 ./bin/rbt
22:44:52 21506 1.4 400605.0 0.0 0.0 awk
22:44:57 18401 1942.6 1449377.8 32.5 11.9 ./bin/rbt
22:45:02 18401 1688.3 1449377.8 37.9 10.3 ./bin/rbt
22:45:07 18401 1831.6 1449378.8 39.9 11.2 ./bin/rbt
22:45:12 18401 2001.5 1449378.8 45.5 12.2 ./bin/rbt
22:45:17 18401 2270.3 1449378.8 35.8 13.9 ./bin/rbt
