ts pid rss_mb vsz_mb pcpu pmem cmd
22:48:01 45266 362.6 1449239.8 124.9 2.2 ./bin/rbt
22:48:07 45266 2418.6 1449240.8 126.5 14.8 ./bin/rbt
22:48:12 45266 4299.6 1449240.8 117.8 26.2 ./bin/rbt
22:48:17 45266 5695.7 1449241.8 107.7 34.8 ./bin/rbt
22:48:22 45266 5890.5 1449241.8 103.4 36.0 ./bin/rbt
22:48:27 45266 4895.4 1449241.8 102.3 29.9 ./bin/rbt
22:48:32 45266 4956.9 1449241.8 102.4 30.3 ./bin/rbt
22:48:37 45266 2948.2 1449241.8 218.7 18.0 ./bin/rbt
22:48:42 45266 2516.5 1449241.8 134.6 15.4 ./bin/rbt
22:48:47 45266 2340.5 1449241.8 80.1 14.3 ./bin/rbt
22:48:52 45266 2248.7 1449242.8 98.9 13.7 ./bin/rbt
22:48:57 45266 2186.9 1449242.8 99.1 13.3 ./bin/rbt
22:49:02 45266 2093.2 1449242.8 89.6 12.8 ./bin/rbt
22:49:07 45266 2309.9 1449242.8 48.0 14.1 ./bin/rbt
22:49:12 45266 2355.3 1449242.8 46.0 14.4 ./bin/rbt
22:49:17 45266 2098.2 1449242.8 42.0 12.8 ./bin/rbt
22:49:22 45266 2497.8 1449242.8 65.0 15.2 ./bin/rbt
22:49:27 45266 2438.3 1449242.8 54.1 14.9 ./bin/rbt
22:49:32 45266 1985.8 1449242.8 42.8 12.1 ./bin/rbt
22:49:37 45266 2128.5 1449242.8 30.4 13.0 ./bin/rbt
22:49:42 45266 2156.5 1449242.8 39.7 13.2 ./bin/rbt
22:49:47 45266 2193.9 1449242.8 44.6 13.4 ./bin/rbt
22:49:52 45266 1888.4 1449242.8 51.8 11.5 ./bin/rbt
22:49:57 45266 1768.8 1449242.8 28.7 10.8 ./bin/rbt
22:50:02 45266 2205.3 1449242.8 34.6 13.5 ./bin/rbt
22:50:07 45266 2247.6 1449242.8 42.1 13.7 ./bin/rbt
22:50:12 45266 2054.7 1449242.8 38.8 12.5 ./bin/rbt
22:50:17 45266 2086.4 1449242.8 36.5 12.7 ./bin/rbt
22:50:22 45266 1959.5 1449242.8 28.6 12.0 ./bin/rbt
22:50:27 45266 2424.9 1449242.8 67.6 14.8 ./bin/rbt
22:50:32 45266 2478.7 1449242.8 66.6 15.1 ./bin/rbt
22:50:37 45266 2438.2 1449242.8 52.3 14.9 ./bin/rbt
22:50:42 45266 2483.1 1449242.8 36.3 15.2 ./bin/rbt
22:50:47 45266 2488.4 1449242.8 47.7 15.2 ./bin/rbt
22:50:52 45266 2408.4 1449242.8 39.5 14.7 ./bin/rbt
22:50:57 45266 2397.5 1449242.8 34.8 14.6 ./bin/rbt
22:51:03 45266 2210.1 1449242.8 41.1 13.5 ./bin/rbt
22:51:08 45266 2109.0 1449242.8 39.4 12.9 ./bin/rbt
22:51:13 45266 2379.7 1449242.8 16.8 14.5 ./bin/rbt
22:51:18 45266 2622.0 1449242.8 54.5 16.0 ./bin/rbt
22:51:23 45266 2582.0 1449242.8 48.5 15.8 ./bin/rbt
22:51:28 45266 2102.7 1449242.8 52.3 12.8 ./bin/rbt
22:51:33 45266 2403.0 1449242.8 50.4 14.7 ./bin/rbt
22:51:38 45266 2488.7 1449242.8 56.7 15.2 ./bin/rbt
22:51:43 45266 2388.9 1449242.8 53.5 14.6 ./bin/rbt
22:51:48 45266 2582.9 1449242.8 67.9 15.8 ./bin/rbt
22:51:53 45266 2616.8 1449242.8 41.6 16.0 ./bin/rbt
22:51:58 45266 2740.5 1449242.8 43.9 16.7 ./bin/rbt
22:52:03 45266 1960.3 1449242.8 49.7 12.0 ./bin/rbt
22:52:08 45266 2161.2 1449242.8 45.4 13.2 ./bin/rbt
